Meassurement,Mean,Lower,Upper,Time
Richness,25.8802824917935,23.641694403189874,28.549264950171285,180.6
RichnessTemp,15.0216320906639,13.114494264504893,16.970526901904194,180.6
RichnessTrop,10.54209251596654,8.796784343992535,12.397513790867038,180.6
Ecos,6.320988757693064,5.930174745954755,6.719119317027875,180.6
EcosTrop,3.778788508666753,3.2607001274386267,4.342341515811635,180.6
EcosTemp,4.013275251546217,3.5688489119281,4.355968445258927,180.6
Richness,20.85433936282708,18.941837484790867,22.75336630602188,184.7
RichnessTemp,13.181900460615736,11.498789935651175,14.719894882254263,184.7
RichnessTrop,5.72167835335922,4.5696455944424805,7.063716707084193,184.7
Ecos,7.124517741421277,6.640497309955288,7.621903992312292,184.7
EcosTrop,2.0940477280235514,1.7277616120675794,2.517680521411017,184.7
EcosTemp,5.945816935349723,5.283011962572453,6.475639790391851,184.7
Richness,25.266880700901037,22.972824419323157,27.860452636872054,188.8
RichnessTemp,17.607788478877318,15.597462750172646,19.644436310077317,188.8
RichnessTrop,5.597503055589948,4.361813932543486,7.1260006575675,188.8
Ecos,7.032324665656896,6.55810733505094,7.4675072893688945,188.8
EcosTrop,1.9655493601696281,1.5914845683281813,2.396770435909399,188.8
EcosTemp,6.01779413302676,5.464629560708801,6.526036700742861,188.8
Richness,20.208753326568456,17.98960539404077,22.8870465457585,193
RichnessTemp,12.755695642906927,10.854533934273466,14.802011298412374,193
RichnessTrop,5.9029265878394845,4.627356943244007,7.471775737665782,193
Ecos,6.821659057725379,6.235098563743648,7.399042522563413,193
EcosTrop,2.624672074297865,2.097052183779044,3.2045414871625395,193
EcosTemp,5.3527957613013175,4.674556935937879,5.967983900938673,193
Richness,19.787107828437968,17.38533807274211,22.562727911923126,196.7
RichnessTemp,13.686992753697568,11.337984688767566,16.082519297950817,196.7
RichnessTrop,4.051758560679733,3.0727429454596598,5.3110417889713695,196.7
Ecos,6.921922642654891,6.25556559297233,7.589074525026742,196.7
EcosTrop,1.5944399965615395,1.235795469220144,1.9778530468846969,196.7
EcosTemp,6.027843454834612,5.076768808545184,6.841413053530646,196.7
Richness,23.638516147368417,20.88021606355875,26.574826039585595,199.8
RichnessTemp,15.840403145898883,13.375839753493828,18.54780134494674,199.8
RichnessTrop,7.106967023149691,5.80450990790813,8.373830386646734,199.8
Ecos,7.79904724273126,7.145504513423204,8.488730720896811,199.8
EcosTrop,2.4061602036158916,2.0374193722266956,2.7652612550274993,199.8
EcosTemp,6.691389127427199,5.804755147647287,7.5310091804467,199.8
Richness,29.260285468619543,26.141218954281616,32.23433938947707,204.9
RichnessTemp,9.641379780027133,7.747563829395322,11.72970594577893,204.9
RichnessTrop,17.38472361660449,14.806579458306924,19.734480219280034,204.9
Ecos,8.947685287066612,8.375168198078818,9.450067528433419,204.9
EcosTrop,6.863896417571482,6.042112750490287,7.557219110025045,204.9
EcosTemp,3.9621066367013027,3.2814031776094494,4.685241497434086,204.9
Richness,58.115785515890764,52.01363164231968,64.86013535147822,210.3
RichnessTemp,28.868751355131497,24.305821843933295,33.07099673467536,210.3
RichnessTrop,29.361146012060587,24.93004342875558,34.13577900647017,210.3
Ecos,11.333127953803391,10.717696917406354,11.913511295788119,210.3
EcosTrop,7.30659236122162,6.488038593750369,7.991241364839959,210.3
EcosTemp,7.93879442264393,7.028462495904705,8.816083159194026,210.3
Richness,35.65338794025622,30.60931138301897,41.85328585579063,213.8
RichnessTemp,18.76274264227922,15.821102982160362,22.042174853327694,213.8
RichnessTrop,13.852904833152696,10.424695686915612,17.709640713976853,213.8
Ecos,7.828868632977153,7.143147745444938,8.627113869926063,213.8
EcosTrop,4.338364387193355,3.4892804218707933,5.256486043779664,213.8
EcosTemp,5.7030364705560475,5.028900301492006,6.4715928986166045,213.8
Richness,47.86961607120471,42.36724060950746,53.36205083147695,218.6
RichnessTemp,22.295412701395612,18.97781474456123,25.43579759531613,218.6
RichnessTrop,23.682387348636247,19.659510798182687,28.15444691357906,218.6
Ecos,10.134861215614634,9.493042702333282,10.728263407323912,218.6
EcosTrop,7.097234520489113,6.157670416821744,8.106461467205747,218.6
EcosTemp,6.279296080953973,5.554798656418221,6.9220991591639685,218.6
Richness,24.54687262894943,21.380712349541675,28.61881480820195,224.8
RichnessTemp,8.556387663313268,6.712361624074375,10.584987520436165,224.8
RichnessTrop,14.600201336621529,12.177029768648119,17.75421701735211,224.8
Ecos,5.308773211512484,4.8820747977257115,5.835029697450448,224.8
EcosTrop,4.227171617177344,3.7095226230224596,4.833223982117228,224.8
EcosTemp,2.5698131416079035,2.137209191260461,3.0548900865084763,224.8
Richness,87.34025457958865,78.61372494030249,97.0453415277839,229.8
RichnessTemp,13.109333740265306,10.620130513735461,15.89644417515716,229.8
RichnessTrop,73.07762732919721,65.63342519565713,81.46566438029197,229.8
Ecos,13.721312298997061,12.854562526222097,14.692801163305926,229.8
EcosTrop,13.145741176716491,12.172728092758923,14.140435409126216,229.8
EcosTemp,3.8107166753579635,3.12060263826565,4.537384703371744,229.8
Richness,54.81825564297985,48.956763555466566,61.314470256719716,233.3
RichnessTemp,2.590997826300904,1.8837930629669764,3.4936806859105096,233.3
RichnessTrop,50.904986897862564,45.292383130456834,56.794381051766656,233.3
Ecos,11.805028774840565,11.108464486309927,12.526079548577439,233.3
EcosTrop,11.682406638508379,10.977326244698972,12.41095306928646,233.3
EcosTemp,1.0744561700548427,0.805474825626463,1.3719460620091524,233.3
Richness,46.359535563833205,40.55376763662028,52.080059502765096,238.5
RichnessTemp,13.32660672224422,10.854057828904349,15.587151713266874,238.5
RichnessTrop,29.37578684741298,24.639875457894032,34.26787290834707,238.5
Ecos,8.926516727383257,8.408373835247325,9.474924009544903,238.5
EcosTrop,7.509229446334246,6.58171939298221,8.34372644671397,238.5
EcosTemp,3.4625604371696825,2.8984721965130906,3.98674293325638,238.5
Richness,44.27490461781082,40.058675192177674,48.90500848465235,242.9
RichnessTemp,1.8399504575612124,1.3192088713937364,2.4851753288070455,242.9
RichnessTrop,41.19976215509605,37.31154443680062,45.66763648813426,242.9
Ecos,8.801578411676171,8.224253106134473,9.404280339879154,242.9
EcosTrop,8.525293766528613,7.956765041211083,9.094951457821995,242.9
EcosTemp,0.8106056176256446,0.5920198355818308,1.0671581330864703,242.9
Richness,12.722356369664855,11.10013151887587,14.60044532251029,244.5
RichnessTemp,0.68809007029254,0.40352460800642886,1.1302202653129463,244.5
RichnessTrop,10.457549963444098,8.996385817834684,12.039134580935901,244.5
Ecos,3.2051271869435167,2.869197882046664,3.5765250474010344,244.5
EcosTrop,2.8749884149739664,2.563610119968124,3.2106613610024684,244.5
EcosTemp,0.35555159399263936,0.22889870712539462,0.5292162018896749,244.5
Richness,50.17522060156436,44.57751369497528,55.407235597383306,246.2
RichnessTemp,12.607462099367353,10.01625654910859,15.306014292630255,246.2
RichnessTrop,35.89853559566702,31.261433496038325,40.60459432327552,246.2
Ecos,11.355953210493961,10.672152389598835,12.101342921321024,246.2
EcosTrop,9.757170120854552,8.927366570595193,10.639754302333998,246.2
EcosTemp,5.387618023273761,4.424555132485145,6.37232772256756,246.2
Richness,22.54626977453813,20.1774519577561,25.299615786064194,247.2
RichnessTemp,2.3421202542985373,1.6557723867996095,3.3227348832881742,247.2
RichnessTrop,17.894741623672203,15.938021079858931,20.22675772538796,247.2
Ecos,7.4717425945919755,6.988425008901313,7.96053325148946,247.2
EcosTrop,6.835794923968253,6.317881522726561,7.354210702093354,247.2
EcosTemp,1.1278128213742895,0.81127162508839,1.5411964598802506,247.2
Richness,28.175711663574504,25.258516836164084,30.879599950773795,249.1
RichnessTemp,7.47259695576442,5.902531912208448,9.212861155272368,249.1
RichnessTrop,19.56078215433656,17.405295321619356,21.68553065974489,249.1
Ecos,6.43082060616773,6.004991747285589,6.856985729294363,249.1
EcosTrop,5.887065484866618,5.3858609036770435,6.341512776983702,249.1
EcosTemp,1.6130482170361327,1.317679880692983,1.9225506111666597,249.1
Richness,8.421896062186283,7.52278991494466,9.47698363432411,251
RichnessTemp,1.7146893725470167,1.1468722646647485,2.3164003593652707,251
RichnessTrop,4.648690951501017,3.990321328120886,5.350005362909734,251
Ecos,4.35737005243349,4.0676544179006715,4.700401187357613,251
EcosTrop,3.327020052947123,2.897350270827869,3.725197624425942,251
EcosTemp,0.8540721141914656,0.5971609410733388,1.1352808324150307,251
Richness,6.75835160794275,6.16253286265718,7.430306368267431,251.6
RichnessTemp,0.9914988297908469,0.7037424473640381,1.3298483617716244,251.6
RichnessTrop,4.14543579021917,3.6092850562710526,4.804964009858875,251.6
Ecos,4.435957132487402,4.168198323833211,4.744072051173177,251.6
EcosTrop,3.2161885379792414,2.8307670107669836,3.669315861527749,251.6
EcosTemp,0.6603804920508922,0.48602137943980406,0.872584349991095,251.6
Richness,57.873968818657396,53.42177809123366,62.87905786975776,253.3
RichnessTemp,7.876480270221217,6.229931397259273,9.816862899172323,253.3
RichnessTrop,47.32891790616845,43.493218577071744,51.390329473028366,253.3
Ecos,9.3519717596109,8.882624000371807,9.827027920912975,253.3
EcosTrop,8.191374508474457,7.727107829484925,8.65981000024668,253.3
EcosTemp,2.602339872709429,2.114499711351421,3.145384957637275,253.3
Richness,42.3470946653016,38.03814286559031,46.84585861857044,257.1
RichnessTemp,21.01559232403367,18.331685261011494,23.79758967935624,257.1
RichnessTrop,18.677196795663022,15.1849942319379,21.894998796249457,257.1
Ecos,8.2198562099584,7.641454554146642,8.750058369438143,257.1
EcosTrop,5.707176333619785,4.820827540685169,6.550826324911627,257.1
EcosTemp,3.9719439367760128,3.5194928219836044,4.366911852512079,257.1
Richness,82.98301170925768,75.89963244815715,90.88584317548087,262.5
RichnessTemp,16.20192999640534,13.23575673517534,19.39234223798809,262.5
RichnessTrop,64.75163990947092,58.80177809653169,70.77642665864494,262.5
Ecos,10.714386314025484,10.094179443846693,11.42628876139543,262.5
EcosTrop,8.568635099568333,7.949703368851223,9.19604127562846,262.5
EcosTemp,4.426214039489903,3.6386582378546612,5.247959517653552,262.5
Richness,115.69942515584461,106.32443350786187,125.02745980401559,267
RichnessTemp,43.531044585262194,38.26024611909169,48.65602376133022,267
RichnessTrop,73.36846979156238,66.60063086266156,80.84753126899584,267
Ecos,12.994117554164902,12.338321310754706,13.823642830558295,267
EcosTrop,9.909261993526467,9.097553477816824,10.712869675134803,267
EcosTemp,8.10346558720764,7.268623796016465,8.877330347418212,267
Richness,101.24192281683867,92.42210332694287,110.03633283805607,270.6
RichnessTemp,28.79460641950958,24.185042003993754,33.78239691803191,270.6
RichnessTrop,72.98853666757645,66.58274815063483,79.68980512313836,270.6
Ecos,11.838806051765626,11.167224276331105,12.515838467649393,270.6
EcosTrop,10.506688692638384,9.811861844333336,11.172090552516778,270.6
EcosTemp,4.60696628801505,3.9935944066055162,5.2636289293607526,270.6
